id,name,reducedfrom,Garey and Johnson Id,input,question,reference,tags,comment,wikilink,abbrev
10,Cyclic Ordering,1,[MS2],"A finite set, \(A\), and a collection, \(C\), of ordered triples \((a,b,c)\) of distinct elements from \(A\).","Is there a one-to-one mapping \(f:A\rightarrow \{1,2,3,...,|A|\}\) (i.e. a function which maps each element of \(A\) to a number between 1 and \(|A|\) with no two distinct elements of \(A\) being mapped to the same number) such that for each \((a,b,c)\) in \(C\) one of \(f(a) < f(b) < f(c)\), \(f(b) < f(c) < f(a)\), \(f(c) < f(a) < f(b)\) holds?","Galil, Zvi, and Nimrod Megiddo. ""Cyclic ordering is NP-complete."" Theoretical Computer Science 5.2 (1977): 179-182.",MS,"For any triple \((a,b,c)\) there are 6 (six) possible orderings that could result for \((a,f(b),f(c))\). The question being asked is whether there is a choice of function that forces every specified triple into one of three `legal' orderings. Garey and Johnson has a typographical error in describing this problem, whereby each triple `in \(A\)' is referred to. Obviously `in \(C\)' is intended.",,CO
11,Quadratic Diophantine Equations,1,[AN8],"Positive integers \(a\), \(b\), and \(c\).",Are there two positive integers \(x\) and \(y\) such that \(ax^2+by=c\)?,"Manders, Kenneth, and Leonard Adleman. ""NP-complete decision problems for quadratic polynomials."" Proceedings of the eighth annual ACM symposium on Theory of computing. ACM, 1976.",AN,"The comments regarding Comparative Divisibility are also pertinent with respect to this problem. Again, there is an `obvious' algorithm that, on the surface, appears to be efficient and is seen not to be so only once one compares the input size (space needed to represent the input data) to the actual computation time in the worst-case.",,QDE
12,Maximum 2-Satisfiability,1,[LO5],"A set of m clauses \(C_1,C_2,...,C_m\) over \(n\) boolean valued variables \(X_n\), where each clause depends on two distinct variables from \(X_n\); a positive integer \(k\) with \(k \leq m\).",Is there an assignment of boolean values to the variables \(X_n\) such that at least \(k\) distinct clauses take the value true under the assignment?,"Garey, Michael R., David S. Johnson, and Larry Stockmeyer. ""Some simplified NP-complete graph problems."" Theoretical computer science 1.3 (1976): 237-267.",LO,"For relevant definitions see SAT. 2-SAT, a natural variant of the problem 3-SAT described in SAT, can be solved in \(O(m)\) steps. The simple variation described here (whereby one asks whether at least some number of clauses can be made true simultaneously) is much more difficult.",,M2S
13,Register Sufficiency,1,[PO1],"A directed, acyclic graph \(G(V,A)\) in which each node has at most two out-going edges; a positive integer \(k\).","Is there a \(k\) or fewer register `computation' for \(G\), i.e. is there an ordering \(\langle v_1, v_2,..., v_n\rangle\) of the \(n\) nodes of \(G\) and a sequence \(\langle S_0,S_1,...,S_n\rangle\) of subsets of \(V\) which satisfy all of the following: \(\forall i\), \(S_i\) contains at most \(k\) nodes from \(V\). \(S_0\) contains no nodes; \(S_n\) contains all of the nodes in \(V\) with no in-coming edges in \(G\) (recall that \(G\) is directed). For each \(i\), with \(1 \leq i \leq n: v_i \in S_i, S_i - \{vi\}\) is a subset of the nodes in \(S_i-1\); and \(S_i-1\) contains all nodes \(u\) for which \((v_i,u)\) is an edge in \(A\), i.e. all nodes, \(u\), for which there is an edge from \(v_i\) to \(u\)? ","Sethi, Ravi. ""Complete register allocation problems."" SIAM journal on Computing 4.3 (1975): 226-248.",PO,"The background to this problem comes from developing Code Generation methods in compilers for High-Level Languages. On early architectures, performing arithmetic operations with both operands stored in registers was significantly faster than fetching an operand from main memory. Such machines, however, had only a small (16-32) number of fast registers. Thus in generating assembly code to represent the computation of a lengthy arithmetic expression, it was necessary to use registers efficiently. A common first stage in compiling such expressions was to represent the computation as a (so-called) `straight-line program' which in turn could be modelled as a directed acyclic graph. The object of the Register Sufficiency Problem is to determine if such a `straight-line program' can be evaluated using only the specified number of available registers.",,RSF
14,Central Slice of Half-Clique,4,[GT67],"An \(2n\)-node undirected graph \(G(V,E)\) with node set \(V\) and edge set \(E\).","Does either of the following hold true of \(G(V,E)\): (1) \(G\) contains at least \(\frac{2n^2-n}{2}+1\) edges or (2) \(G\) contains exactly \(\frac{2n^2-n}{2}\) edges and \(G\) contains an \(n\)-clique? ","Dunne, Paul E. ""The complexity of central slice functions."" Theoretical computer science 44 (1986): 247-257.",GT,"For the definition of `\(k\)-clique' see Clique. This specific variant of the CLIQUE problem post-dates Garey and Johnson's 1979 text by 5 years. Its classification as NP-complete is, originally, proved in: P.E. Dunne: Techniques for the analysis of monotone Boolean networks; Ph.D. dissertation, Univ. of Warwick, October 1984; (Theory of Computation Report No. 69, Dept. of Comp. Sci., Univ. of Warwick, 1984). The published version appears in P.E. Dunne: The Complexity of Central Slice Functions. Theoretical Computer Science, 44, (1986), pp. 247-257 For problems whose inputs are encoded by N bits, there are a number of other NP-complete problems that remain so even when the only `non-trivial' inputs are those with exactly \(N/2\) input bits equal to 1.",,CLC
15,Decision Tree,39,[MS15],"A boolean logic function, \(f\), of \(n\) variables, \(X_n\), described by its 1-points, i.e. the set of assignments, \(\alpha=\langle a_1,...,a_n\rangle\) such that \(f(a_1,...,a_n)=1\); a positive integer \(K\).",Is there a decision tree for \(f\) that has average path length at most \(K\)?,"Hyafil, Laurent, and Ronald L. Rivest. Graph partitioning and constructing optimal decision trees are polynomial complete problems. IRIA. Laboratoire de Recherche en Informatique et Automatique, 1973.",MS,"A decision tree is a binary tree in which each non-leaf node is labelled with a variable from \(X_n\), each leaf node is labelled either 0 or 1, the edge from a non-leaf node to its left child is labelled 0, that to its right child is labelled 1. For a given assignment of Boolean values to the variables \(X_n\) a path can be traced starting from the root of the decision tree and following the edges marked with the value of the variable labelling each node encountered. The path terminates at a leaf node whose associated label gives the value of the function. The decision tree computes a Boolean function \(f(X_n)\) if for every assignment, \(\alpha\), to the variables the path traced from the root under \(\alpha\) terminates in a leaf labelled \(f(\alpha)\). The average path length of a binary tree with \(t\) leaf nodes and root \(v\) is: \(\sum_{w:w \mbox{ is a leaf} \frac{|P(x,w)|}{t}\) where \(P(u,v)\) indicated the path from \(u\) to \(v\). This problem is a simpler (but still NP-complete) version of the form given in Garey and Johnson. For relevant variations and potential heuristic approaches, the papers P.E. Dunne and P.H. Leng, ""An algorithm for optimising signal selection in demand-driven circuit simulation"", Transactions of the Society for Computer Simulation, vol. 8, no.4, pp. 269-280, 1992P.E. Dunne, C.J. Gittings, and P.H. Leng, ""Multiprocessor simulation strategies with optimal speed-up"", Inf. Proc. Letters, vol. 54, no. 1, pp. 23-33, April 1995P.E. Dunne, P.H. Leng, and G.F. Nwana, ""On the complexity of Boolean functions computed by lazy oracles"", IEEE. Trans. Comput., vol. 44, no. 4, pp. 495-502, April 1995 may provide some ideas of use.",,DT
16,Shortest Common Superstring,6,[SR9],"A finite set \(R=\{r_1,r_2,...,r_m\}\) of binary strings (sequences of 0 and 1); positive integer \(k\).","Is there a binary string \(w\) of length at most \(k\) such that every string in \(R\) is a substring of \(w\), i.e. for each \(r \in R\), \(w\) can be decomposed as \(w=w_0rw_1\) where \(w_0, w_1\) are (possibly empty) binary strings?","Maier, David, and James A. Storer. ""A note on the complexity of the superstring problem."" Computer Science Laboratory, Report 233 (1977).",SR,"General problem allows more than two symbols (i.e. not just binary), but this simpler version remains NP-complete.",,SCS
17,Longest Circuit*,24,[ND28],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k\).",Does \(G\) contain a simple cycle containing at least \(k\) nodes?,"Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",GT,Special cases of this are the famous Travelling Salesman Problem and Hamiltonian Circuit Problem. The latter corresponds to the cases \(k=n\); the former to the case with each graph edge being weighted and also having \(k=n\).,,LCR
18,Kernel,1,[GT57],"\(n\)-node directed graph \(G(V,A)\).","Does \(G\) possess a kernel, i.e. a subset \(W\) of the nodes \(V\) such that no two nodes in \(W\) are joined by an edge in \(A\) and such that for each node \(v\) in \(V-W\) there is a node \(w \in W\) for which \((w,v)\) is an edge in \(A\)?","Chvátal, Vašek. ""On the computational complexity of finding a kernel."" Report CRM-300, Centre de Recherches Mathématiques, Université de Montréal 592 (1973).",GT,,,KRN
19,K-Closure,4,[GT58],"\(n\)-node directed graph \(G(V,A\)); positive integer \(k \leq n\).","Is there a subset \(W\) of \(V\) having size at most \(k\) and such that for all edges \((u,v) \in A\) either \(u\) is in \(W\) or \(v\) is not in \(W\).","Queyranne, M. [1976], private communication.",GT,,,KCL
20,Bandwidth,46,[GT40],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k \leq n\).","Is there a linear ordering of \(V\) with bandwidth at most \(k\), i.e. a one-to-one function \(f:V \rightarrow \{1,2,...,n\}\) such that for all edges \(\{u,v\} \in G\), \(|f(u)-f(v)| \leq k\)?","Papadimitriou, Ch H. ""The NP-completeness of the bandwidth minimization problem."" Computing 16.3 (1976): 263-270.
",GT,,,BW
21,Maximum Leaf Spanning Tree,31,[ND2],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k\leq n\).",Does \(G\) have a spanning tree in which at least \(k\) nodes have degree 1.,"P.E. Dunne: A result on k-valent graphs and its application to a graph embedding problem, Acta Informatica, 24, (1987), pp. 447-459 may be found a) in the HCL Library; b) to be completely incomprehensible; and c) to give a couple of ideas as regards the development of heurstic and approximation techniques.Other papers of interest are given here",GT,"A spanning tree of \(G(V,E)\) is a tree \(T(V,F)\) containing all the nodes of \(G\) and whose edges, \(F\), are a subset of the edges in \(E\).",,MLST
22,Independent Set,6,[GT20],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k \leq n\).","Does \(G\) have an independent set of size at least \(k\), i.e. a subset \(W\) of at least \(k\) nodes from \(V\) such that no pair of nodes in \(W\) is joined by an edge in \(E\)?","Garey, Michael R., David S. Johnson, and Larry Stockmeyer. ""Some simplified NP-complete graph problems."" Theoretical computer science 1.3 (1976): 237-267.",GT,,,IS
23,Degree Constrained Spanning Tree,24,[ND1],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k\leq n\).",Does \(G\) have a spanning tree in which no node has degree greater than \(k\)?,"Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",GT,,,DCST
24,Hamiltonian Path,6,[GT39],"\(n\)-node undirected graph \(G(V,E)\).","Is there a simple path of edges in \(G\) that contains every node in \(V\), and thus contains exactly \(n-1\) edges?","Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",GT,Material regarding the Hamiltonian circuit problem may be found to be relevant.,,HP
25,Graph Partitioning,65,[ND14],"\(2n\)-node undirected graph \(G(V,E)\); positive integer \(k\leq |E|\).",Can the nodes of \(G\) be partitioned into 2 disjoint sets \(U\) and \(W\) each of size \(n\) and such that the total number of distinct edges in \(E\) that connect a node \(u \in U\) to a node \(w \in W\) is at most \(k\)?,"Hyafil, Laurent, and Ronald L. Rivest. Graph partitioning and constructing optimal decision trees are polynomial complete problems. IRIA. Laboratoire de Recherche en Informatique et Automatique, 1973.",GT,"There has long been interest in this problem from the area of printed circuit board (and latterly VLSI chip) design, in which areas this optimisation problem provides a natural formulation for the task of minimising the number of wires crossing between different boards (or chips). The famous approximating heuristic of Kernighan and Lin (Bell Systems Tech. Jnl., 49, (1970), pp. 291-307: BSTJ can found in the HCL) appeared in this context. A survey and bibliography of algorithms for special cases is available.",,GPRT
26,Cubic Subgraph,2,[GT32],"\(n\)-node undirected graph \(G(V,E)\).","Is there a (non-empty) subset \(F\) of the edges of \(G\) such that every node in the graph \(H(V,F)\) has either degree 3 or degree 0.","Chvatal, v. [1976], private communication.",GT,,,CSG
27,Travelling Salesman*,24,[ND22],"A set \(C\) of \(n\) cities \(\{c_1,...,c_n\}\); for each pair of cities \((c_i,c_j) (1 \leq i < j \leq n)\) a positive integer distance \(d_{i,j}\); a positive integer \(B\).","Is there an ordering \(\langle p_i(1),p_i(2),...,p_i(n)\rangle \) of the \(n\) cities such that the value sum from \(i=1\) to \(n-1\) such that $$d_{p_i(i),p_i(i+1)}+d_{p_i(n),p_i(1)}$$ is no more than \(B\)?","Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",GT,"In effect what this problem is asking is whether there is a tour of the given collection of cities that visits each city exactly once and takes up total distance no more than \(B\). There is a huge volume of literature concerning approximation methods, search heuristics, special case methods, etc for this very well studied problem. A bibliography has been compiled.",,TS
28,Steiner Tree in Bipartite Graphs,39,[ND12a],"Bipartite graph \(B(V,W,E)\); positive integer \(k\).","Is there a sub-tree of \(B(V,W,E)\) that includes all of the nodes of \(V\) and has at most \(k\) edges?","Karp, Richard M. ""Reducibility among combinatorial problems."" Complexity of computer computations. Springer, Boston, MA, 1972. 85-103.",GT,For the definition of bipartite graph (on two disjoint sets of nodes V and W) see Problem 5.,,STBG
29,Bounded Diameter Spanning Tree,39,[ND4],"\(n\)-node undirected graph \(G(V,E)\); for each edge, \(\{u,v\}\) a positive integer weight \(w(u,v)\); positive integer \(B\).",Does \(G\) have a spanning tree \(T\) such that the total sum of the weights of edges in \(T\) is at most \(B\) and no simple path in \(T\) contains more than 5 edges?,"Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",GT,,,BDST
30,Optimal Linear Arrangement,89,[GT42],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k \leq n\).","Is there a one-to-one function \(f:V\rightarrow \{1,2,...,n\}\) such that \(\sum_{\{u,v\} \in E} |f(u)-f(v)| \leq K\)?","Garey, Michael R., David S. Johnson, and Larry Stockmeyer. ""Some simplified NP-complete graph problems."" Theoretical computer science 1.3 (1976): 237-267.",GT,,,OLA
31,Dominating Set,6,[GT2],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k \leq n\).","Does \(G\) contain a dominating set of size at most \(k\), i.e. a subset \(W\) of \(V\) containing at most \(k\) nodes and such that for every node \(u\) in \(V-W\) (i.e. in \(V\) but not in \(W\)) there is a node \(w \in W\) such that \(\{u,w\}\) is an edge of \(G\)?","Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",GT,,,DS
32,Path with Forbidden Pairs,1,[GT54],"\(n\)-node directed graph \(G(V,A)\); two distinct nodes \(s\) and \(t\) belonging to \(V\); finite collection \(C=\{(a_1,b_1),...,(a_r,b_r)\}\) of pairs of nodes from \(V\).",Is there a directed path from the node \(s\) to the node \(t\) in \(G\) that contains at most one node from each pair of nodes in the collection \(C\)?,"Gabow, Harold N., Shachindra N. Maheshwari, and Leon J. Osterweil. ""On two problems in the generation of program test paths."" IEEE Transactions on Software Engineering 3 (1976): 227-231.",GT,Several simplifications of this problem remain NP-complete: requiring \(G\) to be acyclic; requiring the collection \(C\) to contain only directed edges from \(A\) (rather than arbitrary pairs of nodes); requiring all the pairs to be disjoint.,,PFP
33,Oriented Diameter,37,[GT64],"\(n\)-node undirected graph \(G(V,E)\); positive integer \(k<\leq n\).","Can a direction be placed on each edge \(\{u,v\}\) of \(E\) in such a way that the resulting directed graph \(H(V,A)\) is such that both of the following hold: \(H(V,A)\) is strongly connected, i.e. for each distinct pair of nodes, \(v\) and \(w\), there exists a directed path from \(v\) to \(w\) in \(H\) and a directed path from \(w\) to \(v\) in \(H\). The diameter of \(H(V,A)\) is at most \(k\), i.e. for every pair of nodes \(v\) and \(w\), there is a path of at most \(k\) edges from \(v\) to \(w\) and a path of at most \(k\) edges from \(w\) to \(v\)? ","Chvátal, Vasek, and Carsten Thomassen. ""Distances in orientations of graphs."" Journal of Combinatorial Theory, Series B 24.1 (1978): 61-75.",GT,,,OD
34,Rural Postman*,24,[ND27],"\(n\)-node undirected graph \(G(V,E)\); subset \(F\) of the edges \(E\); positive integer \(k\leq |E|\).",Is there a (not necessarily simple) cycle of in \(G\) that contains every edge in \(F\) and has at most \(k\) edges in total?,"Lenstra, Jan Karel, and A. H. G. Kan. ""On general routing problems."" Networks 6.3 (1976): 273-280.",GT,"A simple cycle in a graph is one in which each node visited in the cycle is visited exactly once. A non-simple cycle allows nodes to be visited more than once (although, obviously, each edge can only occur once). For example in the 5 node graph with edges \((\{1,2\};\{1,3\};\{1,4\};\{1,5\};\{2,3\};\{2,4\};\{2,5\};\{3,4\})\), the cycle \(1\rightarrow 2\rightarrow 3\rightarrow 1\) is a simple cycle; the cycle \(1\rightarrow 2\rightarrow 4\rightarrow 3\rightarrow 2\rightarrow 5\rightarrow 1\) is a non-simple cycle since 2 is visited twice (notice that in neither case is any edge used more than once).",,RPM
35,Longest Path*,24,[ND29],"\(n\)-node undirected graph \(G(V,E)\); nodes \(s\) and \(t\) in \(V\); positive integer \(k\).",Is there a simple path between \(s\) and \(t\) in \(G\) that contains at least \(k\) edges?,"Garey, Michael R., and David S. Johnson. Computers and intractability. Vol. 29. New York: wh freeman, 2002.",GT,The similarity to Problem 17 should be noted.,,LPT
36,3-Dimensional Matching,1,[SP1],"3 disjoint sets \(X, Y\), and \(Z\) each comprising exactly \(n\) elements; a set \(M\) of \(m\) triples \(\{(x_i,y_i,z_i):1\leq i\leq m\}\) such that \(x_i \in X\), \(y_i \in Y\), and \(z_i \in Z\), i.e. \(M\) is a subset of \(X\times Y\times Z\).","Does \(M\) contain a matching, i.e. is there a subset \(Q\) of \(M\) such that \(|Q|=n\) and for all distinct pairs of triples \((u,v,w)\) and \((x,y,z) \in Q\) it holds that \(u \neq x\) and \(v\neq y\) and \(w\neq z\).","Karp, Richard M. ""Reducibility among combinatorial problems."" Complexity of computer computations. Springer, Boston, MA, 1972. 85-103.",SS,"The variant 2-dimensional matching in which 2 disjoint sets X and Y form the basis of a set of pairs, can be solved by a number of fast methods.",,3DM
37,Set Splitting*,1,[SP4],"A finite set \(S\); A collection \(C_1,...,C_m\) of subsets of \(S\).",Can \(S\) be partitioned into two disjoint subsets - \(S_1\) and \(S_2\) - such that for each set \(C_i\) it holds that \(C_i\) is not a subset of \(S_1\) and \(C_i\) is not a subset of \(S_2\)?,"Lovász, László. ""Normal hypergraphs and the perfect graph conjecture."" Discrete Mathematics 2.3 (1972): 253-267.",SS,,,SSP
38,Set Packing,39,[SP3],"A collection \(C=(C_1,...,C_m)\) of finite sets; a positive integer \(k\leq m\).","Are there \(k\) sets - \(D_1,...,D_k\) - from the collection \(C\) such that for all \(1\leq i <  j\leq k\), \(D_i\) and \(D_j\) have no common elements?","Karp, Richard M. ""Reducibility among combinatorial problems."" Complexity of computer computations. Springer, Boston, MA, 1972. 85-103.",SS,,,SPK
39,Exact Cover by 3-Sets,36,[SP2],A finite set \(X\) containing exactly \(3n\) elements; a collection \(C\) of subsets of \(X\) each of which contains exactly 3 elements.,"Does \(C\) contain an exact cover for \(X\), i.e. a sub-collection of 3-element sets \(D=(D_1,...,D_n)\) such that each element of \(X\) occurs in exactly one subset in \(D\)?","Karp, Richard M. ""Reducibility among combinatorial problems."" Complexity of computer computations. Springer, Boston, MA, 1972. 85-103.",SS,,,X3C
40,Minimum Cover,39,[SP5],"A finite set \(S\); A collection \(C=(C_1,...,C_m)\) of subsets of \(S\); a positive integer \(k\leq m\).","Does \(C\) contain a cover for \(S\) comprising at most \(k\) subsets, i.e. a collection \(D=(D_1,...,D_t)\), where \(t\leq k\), each \(D_i\) is a set in \(C\), and such that every element in \(S\) belongs to at least one set in \(D\)?","Karp, Richard M. ""Reducibility among combinatorial problems."" Complexity of computer computations. Springer, Boston, MA, 1972. 85-103.",SS,,,MC
41,Partition,36,[SP12],Finite set \(A\); for each element \(a \in A\) a positive integer size \(s(a)\).,Can \(A\) be partitioned into 2 disjoint sets \(A_1\) and \(A_2\) in a such a way that the sum of the sizes \(s(x)\) of elements \(x \in A_1\) is exactly the same as the sum of the sizes \(s(y)\) of the elements \(y \in A_2\).,"Karp, Richard M. ""Reducibility among combinatorial problems."" Complexity of computer computations. Springer, Boston, MA, 1972. 85-103.",SS,"It should be noted that it is not required that \(A_1\) and \(A_2\) contain equal numbers of elements, although even with this condition the problem is still NP-complete.",,PART
